vendor,description,amount,category
SaaS Tools,Software license renewal,4463.6,office
Sweets Corner,Meal order lunch - urgent,1520.53,meals
Cafe Latte,Team coffee meeting,10081.71,meals
Local Event,Cultural visit,3221.95,entertainment
IT Accessories,Software license renewal,9097.89,office
Museum Tickets,Family day tickets,2616.83,entertainment
Veg Market,Office lunch ingredients (reimbursable),2134.12,groceries
Dominos,Catering for seminar,1796.29,meals
Hardware Store,Hosting renewal for office use,19225.11,office
IT Accessories,Hardware components,16222.15,office
Fire Safety,Roof repair after monsoon,14514.19,maintenance
Conference Hall,Desk chair replacement,26295.44,office
Gas Company,RO service and refill,2072.25,utilities
TaxiShare,Van hire - urgent,14359.08,transport
Swiggy,Pizza for staff,2196.67,meals
Subway,Pizza for staff,2104.65,meals
IT Accessories,Conference supplies for office use,2744.88,office
Website Hosting,Printer ink purchase,98272.88,office
IT Consultancy,Domain registration,144924.75,office
Google Workspace,Extra cloud backup for office use,1646.73,subscription
IRCTC,Office travel,12483.41,transport
Flipkart,Website hosting renewal,151686.25,office
Zoomcar,Airport drop for office use,2185.54,transport
IT Accessories,Monitor purchase,114892.61,office
Hotel Stay,Short-term team stay (reimbursable),80247.07,accommodation
IT Consultancy,Annual audit fee for office use,209145.47,office
Reliance Fresh,Pantry groceries,1583.75,groceries
Roof Repair,Monthly garden maintenance,5718.87,maintenance
Cafe Latte,Sandwiches for meeting,1405.78,meals
Veg Market,Organic bulk order,1911.04,groceries
IT Consultancy,Desk chair replacement,29732.54,office
Car Wash,Shared ride to event - urgent,18401.27,transport
Cafe Latte,Client dinner for office use,4254.65,meals
InsuranceCo,Charity contribution - urgent,579.58,other
Veggie Mart,Fresh vegetables,4567.34,groceries
Payroll Fees,Cash withdrawal for petty cash,9880.89,other
Fruit Stall,Fruits for meeting for office use,2172.4,groceries
Others Vendor,Shoe sole replacement,3355.84,other
Fruit Stall,Weekly groceries,1565.72,groceries
Zomato,Client meal expense,4870.44,meals
Team Outing Organizers,Cultural visit for office use,3500.63,entertainment
Zomato,Lunch meeting order,3457.92,meals
Security Services,Monthly garden maintenance for office use,6319.92,maintenance
IT Accessories,Consultant fee (reimbursable),6316.75,office
Car Wash,Pickup to client site,28039.73,transport
Organic Store,Weekly groceries - urgent,4356.42,groceries
Legal Fees,Shoe sole replacement,4080.46,other
Local Bakery,Team lunch,2314.68,meals
Car Wash,Flight booking,50469.64,transport
Organic Store,Healthy snacks,4779.54,groceries
Spencers,Organic bulk order - urgent,1005.74,groceries
IT Consultancy,Monitor purchase,65375.31,office
InsuranceCo,Charity contribution - urgent,2805.5,other
CCD,Pizza for staff,8532.74,meals
Apparel Co,Phone recharge,4671.34,other
Local Bakery,Client meal expense,50000.0,meals
IRCTC,Shared ride to event,10691.95,transport
Legal Fees,Replacement charger,51820.22,other
TaxiGo,Car rental for client visit (reimbursable),3884.55,transport
Cafe Mocha,Pastries for team for office use,3381.72,meals
HealthPlus Pharmacy,Dental cleaning,1319.89,health
Snack Shack,Client meal expense - urgent,8900.26,meals
Veggie Mart,Organic bulk order for office use,4462.66,groceries
Meru Cabs,Train ticket for business trip for office use,33959.07,transport
Ola,Office commute,2164.17,transport
More Retail,Snacks for meeting,402.9,groceries
SpiceJet,Train ticket for business trip,52832.08,transport
Laundry House,Cleaning service,10200.16,maintenance
Roof Repair,Monthly garden maintenance for office use,2347.9,maintenance
Swiggy,Snacks and drinks,4939.73,meals
Office Bazaar,Printer ink purchase,19125.05,office
Office Bazaar,Printer ink purchase,35461.78,office
Zomato,Pastries for team,5387.37,meals
Organic Farm,Fruits for meeting,12222.57,groceries
Hardware Store,Desk chair replacement,9311.68,office
Event Caterers,Snacks and drinks,3404.59,meals
Water Supply,Internet monthly bill,9775.12,utilities
Saree Shop,Payment gateway fees,21160.16,other
Spencers,Monthly groceries,1043.82,groceries
Streaming Service,Event tickets,25000.0,entertainment
Office Bazaar,IT accessories purchase for office use,11788.66,office
Apparel Co,Insurance payment,21554.76,other
TaxiGo,Parking pass,52111.98,transport
Gym Monthly,Flu shots for staff,5215.37,health
Shell Petrol,Office travel,80501.41,transport
Electricity Board,Gas cylinder refill,2129.64,utilities
Blinkit,Fresh vegetables,10972.71,groceries
Dominos,Meal order lunch,5199.84,meals
TaxiShare,Shared ride to event,7255.2,transport
Website Hosting,Projector bulb replacement,24959.92,office
Shell Petrol,Flight booking - urgent,5195.29,transport
Website Hosting,IT accessories purchase,7099.26,office
KFC,Client dinner,8878.14,meals
Cafe Mocha,Snacks and drinks,2361.1,meals
Audit Services,Software license renewal - urgent,250000.0,office
TechCourses,Desk chair replacement,23253.15,office
CCD,Snacks and drinks,370.0,meals
Office Depot,Monitor purchase for office use,6505.76,office
Printer Service,Consultant fee,121307.31,office
Airbnb,Short-term team stay,7312.55,accommodation
Event Caterers,Pizza for staff,7492.2,meals
Blinkit,Pantry restock,4559.16,groceries
Paytm,Gift for guest speaker,1674.92,other
HealthPlus Pharmacy,Doctor consultation,8422.3,health
Conference Hall,Conference supplies,24134.72,office
TaxiGo,Car rental for client visit,13658.18,transport
Bakery & Co,Team coffee meeting,2546.15,meals
TaxiGo,Fuel refill,3337.32,transport
SpiceJet,Parking pass,21234.18,transport
PharmaPlus,OTC medicines (reimbursable),3247.44,health
Office Depot,Conference supplies - urgent,44409.64,office
Fruit Stall,Grocery purchase,7896.83,groceries
Apparel Co,Payment gateway fees,11351.03,other
Printer Service,Procurement fee,2963.92,other
Dental Clinic,Dental cleaning,1530.76,health
Meru Cabs,Parking pass,5964.76,transport
Paytm,Procurement agent fee - urgent,13078.65,other
FreshToHome,Weekly groceries,3716.93,groceries
Payroll Fees,Software license renewal,8284.18,office
Flipkart,Printer ink purchase,980.0,office
Gardener Services,Fire extinguisher servicing,2307.29,maintenance
Office Depot,IT accessories purchase for office use,19529.18,office
Payroll Fees,IT accessories purchase,7610.82,office
Zomato,Lunch meeting order,1409.67,meals
Laundry House,Cleaning service,4591.59,maintenance
Blinkit,Grocery purchase,3437.33,groceries
Big Bazaar,Organic bulk order,4467.23,groceries
TaxiShare,Office travel - urgent,5701.97,transport
Yoga Studio,Dental cleaning,5472.46,health
Uber,Airport drop,19264.65,transport
TaxiGo,Pickup to client site (reimbursable),17325.66,transport
Croma,Printer ink purchase - urgent,40989.88,office
Reliance Fresh,Monthly groceries,4434.18,groceries
Organic Store,Pantry restock,1456.27,groceries
Office Depot,Software license renewal,3150.26,office
Audit Services,Desk chair replacement,17277.98,office
Organic Store,Pantry restock,2705.75,groceries
TaxiGo,Fuel refill,4107.56,transport
CloudStorage,Annual hosting renewal,711.95,subscription
HostelStay,Guest lodging (reimbursable),4990.61,accommodation
Donation,Legal fees,4577.85,other
Toll Plaza,Flight booking,34779.39,transport
Big Bazaar,Organic bulk order,6728.13,groceries
Fruit Stall,Office lunch ingredients,1642.71,groceries
Uber,Flight booking,15918.62,transport
Google Workspace,Desk chair replacement - urgent,19322.74,office
Bakery & Co,Breakfast meeting,5494.92,meals
Flipkart,Hosting renewal - urgent,27099.33,office
Conference Hotel,Business trip hotel,15675.79,accommodation
Audit Services,Monitor purchase,22900.03,office
Local Deli,Sandwiches for meeting,26480.24,meals
Sourcing Fee,Replacement charger,1917.07,other
Printer Service,Printer ink purchase for office use,76741.97,office
Local Bakery,Client dinner,5993.56,meals
Website Hosting,Monitor purchase,18537.03,office
Big Bazaar,Grocery purchase,5457.55,groceries
SaaS Tools,Video streaming annual,3424.27,subscription
Meru Cabs,Airport drop,21535.95,transport
Fruit Stall,Fresh vegetables,4007.56,groceries
Veg Market,Weekly groceries,1367.92,groceries
Website Hosting,Hardware components (reimbursable),37875.66,office
Flipkart,Hardware components,2778.94,office
SBI ATM,Cash withdrawal for petty cash,9381.13,other
Hardware Store,Hardware components,14850.21,office
Spencers,Organic bulk order for office use,717.15,groceries
CCD,Catering for seminar,1527.52,meals
Office Bazaar,Projector bulb replacement,24196.04,office
IRCTC,Flight booking,6168.99,travel
Cafe Latte,Catering for seminar for office use,2506.07,meals
Local Event,Entertainment expense,3077.36,entertainment
Office Depot,Projector bulb replacement,16455.95,office
Veggie Mart,Fresh vegetables,2536.65,groceries
Cafe Mocha,Snacks and drinks,8340.29,meals
Wheels Rental,Shared ride to event,6827.03,transport
Veg Market,Fruits for meeting for office use,24544.31,groceries
Kids Event,Cultural visit,707.39,entertainment
TechCourses,Website hosting renewal,16448.4,office
Office Depot,Stationery order,8250.7,office
KFC,Team coffee meeting,2390.44,meals
Shell Petrol,Office commute for office use,65906.07,transport
Printer Service,Conference supplies,19811.98,office
Audit Services,Projector bulb replacement,29586.73,office
Sourcing Fee,Legal fees for office use,17294.72,other
Audit Services,Website hosting renewal,20033.6,office
Conference Hall,Stationery order,129780.11,office
Audit Services,Domain registration,26713.09,office
Conference Hall,Monitor purchase - urgent,34800.66,office
Organic Farm,Pantry restock for office use,3511.98,groceries
Streaming Service,Music subscription,5307.47,subscription
Spotify,Team productivity tool,9228.96,subscription
Uber,Airport drop for office use,20062.67,transport
Website Hosting,Desk chair replacement,22089.16,office
Car Insurance,Phone recharge,19000.61,other
Veggie Mart,Organic bulk order,1115.65,groceries
Shell Petrol,Flight booking,10461.91,transport
Swiggy,Team lunch - urgent,4877.39,meals
Office Bazaar,Conference supplies,98445.73,office
Dmart,Snacks for meeting,2729.65,groceries
Water Supply,Monthly electricity bill,11981.94,utilities
Toll Plaza,Fuel refill,25504.83,transport
Sweets Corner,Client meal expense,9279.21,meals
Zoomcar,Airport drop,14433.7,transport
Google Workspace,Monthly subscription,550.0,office
Apple Store,New iPad for team,45000.0,office
Cafe Mocha,Catering for seminar - urgent,13318.73,meals
Sweets Corner,Pizza for staff,11820.16,meals
CCD,Pizza for staff,6559.63,meals
IRCTC,Flight booking,20077.72,transport
Big Basket,Weekly groceries,1690.95,groceries
Zomato,Dinner with client,720.0,meals
Office Bazaar,Annual audit fee,32866.46,office
Conference Hall,Domain registration,59859.4,office
CCD,Pastries for team,2720.02,meals
Swiggy,Lunch meeting order,45404.09,meals
Bakery & Co,Team lunch,3314.74,meals
Streaming Service,Music subscription for office use,2584.99,subscription
Swiggy,Breakfast meeting,8997.1,meals
FuelPlus,Flight booking for office use,10072.42,transport
Legal Fees,Gift for guest speaker for office use,2492.74,other
Big Basket,Weekly groceries,1655.3,groceries
Blinkit,Fruits for meeting,2383.37,groceries
Plumber Co,AC servicing,2306.41,maintenance
Conference Hotel,Client accommodation,16170.01,accommodation
Printer Service,Domain registration,14740.76,office
Car Wash,Highway tolls (reimbursable),22080.79,transport
IT Accessories,Printer ink purchase for office use,24188.69,office
FreshToHome,Weekly groceries for office use,186.3,groceries
Gym Monthly,Flu shots for staff,3066.27,health
Cafe Mocha,Pizza for staff (reimbursable),1273.1,meals
Conference Hall,Hosting renewal,23290.49,office
Dmart,Weekly groceries,1420.74,groceries
Google Workspace,Consultant fee,115633.32,office
Big Basket,Snacks for meeting,2719.09,groceries
Website Hosting,Printer ink purchase,49539.25,office
Printer Service,Software license renewal for office use,7923.87,office
Zoomcar,Airport drop - urgent,14058.26,transport
Zoomcar,Van hire (reimbursable),5210.41,transport
Parking Fees,Parking pass,4810.75,transport
HP Gas,Office kitchen LPG cylinder,950.0,office
TravelAgent,Travel agent fee,16719.6,travel
Tea Stall,Breakfast meeting,21856.84,meals
Streaming Service,Music subscription,5070.36,subscription
Printer Service,IT accessories purchase,25671.57,office
Spencers,Fruits for meeting for office use,2798.39,groceries
TechCourses,Website hosting renewal,15451.21,office
SpiceJet,Office travel for office use,10573.79,transport
Legal Fees,Cash withdrawal for petty cash for office use,6338.34,other
Snack Shack,Catering for seminar for office use,7805.76,meals
Payroll Fees,Annual audit fee for office use,3786.09,office
Veg Market,Weekly groceries,953.94,groceries
Amazon,Annual audit fee for office use,16442.83,office
IT Consultancy,Desk chair replacement,58621.15,office
Wheels Rental,Flight booking - urgent,2317.05,transport
Printer Service,Hosting renewal for office use,17459.91,office
HealthPlus Pharmacy,Dental cleaning - urgent,2253.03,health
Printer Service,Cash withdrawal for petty cash,4550.34,other
Medical Checkup,Employee wellness class,4650.94,health
Sweets Corner,Meal order lunch for office use,3501.97,meals
Uber,Office commute,180.0,transport
Shell Petrol,Car fuel refill,1600.0,transport
Vaccine Center,OTC medicines,1112.31,health
SaaS Tools,Website hosting renewal,13400.76,office
Metro Station,Airport drop,3643.35,transport
Swiggy,Pastries for team for office use,1818.99,meals
TechCourses,Conference supplies,57286.05,office
SaaS Tools,Team productivity tool,5593.11,subscription
Cafe Mocha,Client coffee meeting,620.0,meals
Conference Hall,Monitor purchase (reimbursable),23647.44,office
Internet Provider,Gas cylinder refill,18314.49,utilities
HealthPlus Pharmacy,Gym membership,5702.44,health
Fruit Stall,Grocery purchase,481.65,groceries
Conference Hall,IT accessories purchase for office use,57466.93,office
Water Tanker,RO service and refill,36241.77,utilities
Streaming Service,Video streaming annual,5800.04,subscription
Event Caterers,Pastries for team,8161.63,meals
Visa Services,Travel agent fee,5913.87,travel
Security Services,Fire extinguisher servicing,4746.44,maintenance
Veg Market,Weekly groceries,1259.48,groceries
Zomato,Pizza for staff,11478.79,meals
SpiceJet,Flight booking,4800.0,transport
Tea Stall,Snacks and drinks,11291.67,meals
Conference Hall,Software license renewal,2115.37,office
Uber,Parking pass - urgent,20000.82,transport
Toll Plaza,Office travel,10674.99,transport
KFC,Meal order lunch,4709.66,meals
Audit Services,Software license renewal (reimbursable),10617.63,office
Flipkart,Domain registration,14276.09,office
CCD,Client dinner,1183.67,meals
Office Bazaar,Stationery order,35234.5,office
Cafe Latte,Breakfast meeting,4123.58,meals
Snack Shack,Lunch meeting order for office use,6146.2,meals
Toll Plaza,Car rental for client visit for office use,11168.64,transport
Google Workspace,Monitor purchase,16326.0,office
Payroll Fees,Monitor purchase,24714.17,office
Toll Plaza,Office travel,19623.15,transport
More Retail,Organic bulk order,797.6,groceries
Website Hosting,Hosting renewal,11508.17,office
Snack Shack,Lunch meeting order,2084.7,meals
TaxiGo,Train ticket for business trip,6633.19,transport
Office Depot,Stationery order,37127.55,office
Water Supply,RO service and refill for office use,7953.3,utilities
Dominos,Snacks and drinks - urgent,8194.39,meals
Amazon,Consultant fee,11725.21,office
Organic Farm,Fresh vegetables for office use,1403.37,groceries
Spencers,Fresh vegetables,435.77,groceries
Reliance Mart,Snacks for meeting,6462.3,groceries
Internet Provider,Emergency water supply,12324.57,utilities
Croma,Software license renewal for office use,22755.66,office
SaaS Tools,Consultant fee,47446.56,office
Zoomcar,Fuel refill,45764.53,transport
Printer Service,Software license renewal,24078.48,office
Flipkart,Website hosting renewal for office use,6131.03,office
IT Accessories,Stationery order,30685.7,office
FuelPlus,Pickup to client site,37493.44,transport
Zoomcar,Parking pass,6252.7,transport
Printer Service,Annual audit fee,12729.88,office
Google Workspace,Video streaming annual (reimbursable),5623.24,subscription
Bakery & Co,Client dinner,1328.03,meals
CCD,Client dinner for office use,13508.57,meals
Security Services,Fire extinguisher servicing,9271.59,maintenance
Hardware Store,Conference supplies,11340.19,office
Gas Company,Gas cylinder refill for office use,4361.49,utilities
Google Workspace,Conference supplies,67839.23,office
Local Grocer,Healthy snacks,2245.91,groceries
TravelAgent,Train ticket for business trip - urgent,1207.61,travel
Google Workspace,Annual audit fee,6895.8,office
Local Event,Streaming annual,1425.01,entertainment
SaaS Tools,Stationery order,6301.4,office
Croma,Monitor purchase,14448.18,office
Yoga Studio,Flu shots for staff,953.12,health
Spotify,Monthly subscription,3605.51,subscription
Medical Checkup,Dental cleaning,1234.3,health
Uber,Airport drop,13878.46,transport
Veg Market,Office lunch ingredients,2497.32,groceries
Website Hosting,Desk chair replacement,7987.71,office
Conference Hall,Stationery order,1768.1,office
Shell Petrol,Fuel refill,4639.5,transport
Visa Services,Business visa processing for office use,13026.12,travel
Printer Service,Procurement fee,13748.59,other
Hotel Stay,Conference accommodation,6057.18,accommodation
Electricity Board,Gas cylinder refill,1560.91,utilities
Local Bakery,Sandwiches for meeting,4779.96,meals
Veg Market,Weekly groceries,9705.39,groceries
CloudStorage,Music subscription,4450.01,subscription
FuelPlus,Office travel for office use,10540.6,transport
Laundry House,Fire extinguisher servicing,3393.06,maintenance
Reliance Mart,Organic bulk order - urgent,7298.06,groceries
Amazon,Hosting renewal,30129.59,office
Subway,Catering for seminar,6355.85,meals
Blinkit,Pantry groceries,6829.25,groceries
Sweets Corner,Pastries for team,3994.61,meals
Big Bazaar,Snacks for meeting,913.48,groceries
Swiggy,Client meal expense,9767.35,meals
Electrician Services,Fire extinguisher servicing,2184.01,maintenance
Spencers,Weekly groceries for office use,1959.39,groceries
Parking Fees,Parking pass,2150.99,transport
Zoomcar,Client visit car rental,2100.0,transport
Saree Shop,Payment gateway fees,41959.54,other
Swiggy,Lunch meeting order,36083.49,meals
Reliance Fresh,Fruits for meeting,4013.98,groceries
IRCTC,Travel agent fee,2416.68,travel
FreshToHome,Weekly groceries,2221.32,groceries
Parking Fees,Flight booking for office use,31657.67,transport
Tea Stall,Snacks and drinks,6929.17,meals
IT Accessories,Website hosting renewal (reimbursable),17928.16,office
CCD,Breakfast meeting,35210.87,meals
Website Hosting,Website hosting renewal,18387.32,office
Office Depot,Desk chair replacement,49745.76,office
Office Bazaar,Printer ink purchase,151193.48,office
SaaS Tools,Hardware components,6306.33,office
FuelPlus,Car rental for client visit,27059.92,transport
Electrician Services,Dry clean for office use,4216.21,maintenance
Meru Cabs,Pickup to client site,8230.87,transport
Big Basket,Fruits for meeting,2818.06,groceries
Local Bakery,Pizza for staff - urgent,5752.86,meals
Zoomcar,Train ticket for business trip,8143.67,transport
Roof Repair,Dry clean for office use,3922.69,maintenance
SaaS Tools,IT accessories purchase,71845.33,office
Veggie Mart,Grocery purchase - urgent,710.79,groceries
Stationery Online,Insurance payment (reimbursable),73710.99,other
Tea Stall,Team lunch,4853.83,meals
Fruit Stall,Organic bulk order,4118.47,groceries
IT Consultancy,Domain registration for office use,979.81,office
Google Workspace,Desk chair replacement - urgent,18276.29,office
Flipkart,Projector bulb replacement for office use,16029.65,office
Apparel Co,Legal fees (reimbursable),7208.71,other
Swiggy,Team lunch,14314.5,meals
Wheels Rental,Highway tolls,22165.96,transport
Google Workspace,Desk chair replacement,10630.38,office
InsuranceCo,Charity contribution - urgent,3941.77,other
IT Consultancy,Monitor purchase,36825.52,office
Local Bakery,Team coffee meeting,25677.86,meals
FreshToHome,Pantry restock - urgent,392.8,groceries
Snack Shack,Client meal expense,3691.4,meals
Dmart,Healthy snacks,821.38,groceries
Amazon,Hardware components,23901.79,office
Toll Plaza,Office commute,34714.73,transport
More Retail,Snacks for meeting for office use,1046.77,groceries
Saree Shop,Shoe sole replacement - urgent,4722.7,other
TechCourses,Monitor purchase,62627.31,office
SpiceJet,Airport drop,100000.0,transport
Spencers,Office lunch ingredients,2398.85,groceries
Zomato,Meal order lunch,6809.15,meals
Wheels Rental,Airport drop,53097.63,transport
IT Consultancy,Hosting renewal,70236.87,office
Streaming Service,Extra cloud backup,1628.78,subscription
Paytm,Phone recharge,250.0,other
Google Workspace,Monitor purchase,102536.75,office
IT Consultancy,Annual audit fee,68522.81,office
Croma,Monitor purchase,28252.15,office
Shoe Repair,Procurement fee,13181.26,other
Printer Service,Projector bulb replacement,27187.25,office
CloudStorage,Monthly subscription (reimbursable),6009.13,subscription
Zoomcar,Train ticket for business trip - urgent,9446.18,transport
Water Supply,Emergency water supply - urgent,18599.25,utilities
Wheels Rental,Shared ride to event (reimbursable),4893.35,transport
Sweets Corner,Snacks and drinks,1684.81,meals
KFC,Pastries for team,3028.92,meals
Sweets Corner,Team lunch for office use,861.33,meals
Audit Services,Software license renewal,5710.76,office
Veggie Mart,Grocery purchase,1148.19,groceries
Hotel Taj,Client accommodation,9575.98,accommodation
Electrician Services,Monthly garden maintenance - urgent,3939.5,maintenance
IT Accessories,Stationery order,3396.25,office
KFC,Breakfast meeting for office use,10600.39,meals
KFC,Meal order lunch,5095.95,meals
Spencers,Fresh vegetables,10410.65,groceries
Electricity Board,RO service and refill,13994.56,utilities
Meru Cabs,Pickup to client site,2145.26,transport
Dominos,Catering for seminar,2990.17,meals
IRCTC,Pickup to client site,25725.18,transport
Google Workspace,Hosting renewal,14114.09,office
Zoomcar,Flight booking,8241.39,transport
Shell Petrol,Shared ride to event - urgent,53746.53,transport
Ola,Pickup to client site,17920.05,transport
Dominos,Client dinner,7017.85,meals
Reliance Mart,Snacks and beverages,410.0,groceries
Booking.com,Offsite team housing,45430.29,accommodation
Apparel Co,Legal fees,11502.36,other
Audit Services,Consultant fee,49949.77,office
Reliance Mart,Snacks for meeting - urgent,6265.61,groceries
TechCourses,Monitor purchase for office use,13117.37,office
IT Accessories,Website hosting renewal,15440.41,office
Team Outing Organizers,Entertainment expense,5298.2,entertainment
Swiggy,Client dinner,1975.66,meals
Water Tanker,Internet monthly bill,6715.78,utilities
TaxiGo,Airport drop,10653.17,transport
Internet Provider,Internet monthly bill,9005.17,utilities
HostelStay,Client accommodation,13102.68,accommodation
Subway,Breakfast meeting,5295.27,meals
FuelPlus,Office commute (reimbursable),15476.26,transport
Vaccine Center,Doctor consultation,5826.19,health
Spencers,Weekly groceries for office use,9746.66,groceries
Netflix,Team productivity tool - urgent,1372.72,subscription
IT Accessories,Consultant fee,149980.71,office
IT Accessories,Software license renewal,250000.0,office
Streaming Service,Music subscription,4220.88,subscription
Toll Plaza,Pickup to client site,87195.79,transport
Café Coffee Day,Team coffee meeting,450.0,meals
PharmaPlus,First-aid supplies,6434.74,health
Swiggy,Snacks and drinks,2517.86,meals
Office Bazaar,Desk chair replacement,20235.26,office
Office Depot,IT accessories purchase,5461.3,office
TechCourses,Consultant fee,196688.6,office
Office Depot,Printer ink purchase,46230.87,office
Cafe Mocha,Team lunch,4346.05,meals
SaaS Tools,Music subscription,2606.42,subscription
Office Bazaar,Domain registration,79973.92,office
Shell Petrol,Office travel for office use,2887.99,transport
Local Grocer,Office lunch ingredients,1889.64,groceries
KFC,Snacks and drinks,6021.97,meals
Swiggy,Client dinner for office use,16445.96,meals
Meru Cabs,Fuel refill for office use,36689.61,transport
FuelPlus,Highway tolls,43943.1,transport
Dominos,Lunch meeting order,590.0,meals
Dental Clinic,Annual employee checkup,1361.79,health
Shell Petrol,Pickup to client site,10930.87,transport
Visa Services,Travel agent fee,7405.84,travel
Water Tanker,Emergency water supply,5418.59,utilities
Donation,Procurement agent fee,3961.69,other
Local Grocer,Weekly groceries,566.3,groceries
Fruit Stall,Fresh vegetables,1631.36,groceries
More Retail,Fresh vegetables,1441.11,groceries
Cinema City,Family day tickets,808.17,entertainment
Cafe Latte,Sandwiches for meeting,1374.9,meals
Metro Station,Shared ride to event,5775.2,transport
Dominos,Team coffee meeting,1397.1,meals
SaaS Tools,Conference supplies,66249.52,office
Saree Shop,Shoe sole replacement,21362.3,other
FuelPlus,Fuel refill,1596.03,transport
CCD,Lunch meeting order,12337.39,meals
Payroll Fees,Software license renewal,5085.77,office
Fruit Stall,Pantry groceries,9565.77,groceries
Bakery & Co,Client meal expense - urgent,5984.1,meals
Local Deli,Team coffee meeting - urgent,2345.06,meals
Stationery Online,Charity contribution for office use,26513.41,other
Cafe Latte,Team coffee meeting,4688.13,meals
Office Depot,Annual audit fee,30500.26,office
SaaS Tools,Software license renewal,32408.61,office
Meru Cabs,Flight booking,8714.36,transport
Local Bakery,Sandwiches for meeting,19453.35,meals
CCD,Team coffee meeting,2917.83,meals
Snack Shack,Meal order lunch,3741.66,meals
Office Bazaar,Consultant fee (reimbursable),6967.78,office
Big Basket,Fruits for meeting - urgent,2757.02,groceries
Croma,Hardware components,23455.94,office
Hotel Stay,Business trip hotel for office use,22929.25,accommodation
Big Bazaar,Fruits for meeting,10192.9,groceries
Spotify,Music subscription,2282.21,subscription
Conference Hall,Conference supplies,63851.0,office
Spencers,Healthy snacks,1482.64,groceries
Swiggy,Meal order lunch for office use,1364.99,meals
Big Bazaar,Grocery purchase,245.5,groceries
TravelAgent,Hotel booking for trip,11128.74,travel
IT Consultancy,Monitor purchase,26385.63,office
TechCourses,Hosting renewal,26976.57,office
Google Workspace,Desk chair replacement,66924.48,office
Bakery & Co,Meal order lunch,7196.88,meals
Dmart,Fresh vegetables (reimbursable),970.61,groceries
Car Wash,Train ticket for business trip,19020.84,transport
Cinema City,Team outing movie tickets - urgent,1623.38,entertainment
